timestamp,email,device_name,duration_minutes
2025-01-02T12:36:00,ori9@yahoo.com,iPad,318
2025-01-02T21:55:00,nir242@gmail.com,Surface,86
2025-01-03T19:12:00,tomer375@gmail.com,שני-iPhone,56
2025-01-04T12:52:00,noa981@walla.co.il,Lenovo,15
2025-01-04T20:44:00,yossi5@walla.co.il,אופיר-iPhone,140
2025-01-05T10:34:00,omer3@gmail.com,טל-iPhone,58
2025-01-05T11:42:00,nir429@gmail.com,MacBook-Pro,88
2025-01-05T11:54:00,danny351@gmail.com,Galaxy,163
2025-01-05T14:47:00,tal368@yahoo.com,iPhone,158
2025-01-05T18:48:00,dor406@gmail.com,Pixel,218
2025-01-06T10:07:00,danny670@gmail.com,Galaxy,77
2025-01-06T10:24:00,noa449@hotmail.com,iPad,208
2025-01-06T12:42:00,1@1.com,Unknown,35
2025-01-06T15:09:00,shai205@gmail.com,Lenovo,198
2025-01-06T18:14:00,yael512@gmail.com,Pixel,105
2025-01-07T10:24:00,amit537@gmail.com,Surface,25
2025-01-07T12:41:00,hila325@icloud.com,Lenovo,250
2025-01-07T18:31:00,maya492@gmail.com,Surface,227
2025-01-08T07:09:00,dor10@icloud.com,תומר-iPhone,280
2025-01-08T11:49:00,rinat652@gmail.com,Pixel,295
2025-01-08T11:57:00,nir702@gmail.com,Lenovo,90
2025-01-09T11:41:00,shai894@gmail.com,iPhone,326
2025-01-09T13:54:00,noa853@outlook.com,iPhone,122
2025-01-09T16:57:00,michal841@gmail.com,Pixel,272
2025-01-10T10:11:00,shai205@gmail.com,Pixel,78
2025-01-10T10:42:00,roni119@outlook.com,MacBook-Pro,24
2025-01-10T19:24:00,free.wifi@gmail.com,Unknown,62
2025-01-11T08:53:00,david892@hotmail.com,iPhone,358
2025-01-11T08:55:00,shira825@yahoo.com,Galaxy,175
2025-01-11T16:01:00,1@1.com,Unknown,123
2025-01-11T19:27:00,maya492@gmail.com,Galaxy,168
2025-01-12T17:27:00,shai125@gmail.com,MacBook-Pro,227
2025-01-13T12:28:00,roni696@gmail.com,iPad,150
2025-01-13T17:24:00,shai125@gmail.com,Pixel,61
2025-01-14T10:55:00,nir242@gmail.com,Pixel,142
2025-01-14T20:00:00,yossi599@gmail.com,MacBook-Pro,29
2025-01-15T07:21:00,shira852@gmail.com,iPad,357
2025-01-15T20:40:00,guy45@yahoo.com,iPad,24
2025-01-15T22:42:00,no.email@nope.com,PC,95
2025-01-16T07:33:00,no.email@nope.com,android-xxxx,60
2025-01-16T08:21:00,user@example.com,iPhone,56
2025-01-16T10:11:00,fake@email.com,PC,52
2025-01-16T13:12:00,dor964@outlook.com,Pixel,104
2025-01-16T21:43:00,shai894@gmail.com,Galaxy,195
2025-01-17T12:42:00,danny450@gmail.com,iPad,260
2025-01-19T15:15:00,asdf@asdf.com,Unknown,75
2025-01-19T22:16:00,noa704@hotmail.com,MacBook-Pro,254
2025-01-21T11:25:00,danny450@gmail.com,Surface,184
2025-01-21T11:36:00,yael217@icloud.com,iPad,349
2025-01-21T17:29:00,tal416@gmail.com,iPad,346
2025-01-23T10:34:00,alon328@hotmail.com,Pixel,67
2025-01-23T17:22:00,1@1.com,android-xxxx,79
2025-01-24T07:36:00,nope@nope.com,android-xxxx,139
2025-01-24T08:50:00,amit85@yahoo.com,iPad,218
2025-01-24T09:26:00,yossi507@outlook.com,Pixel,175
2025-01-24T10:32:00,tal528@yahoo.com,Surface,226
2025-01-25T19:49:00,nir737@icloud.com,iPad,142
2025-01-26T14:07:00,x@x.com,Unknown,18
2025-01-26T19:46:00,user@example.com,android-xxxx,80
2025-01-27T14:52:00,guy323@gmail.com,iPad,288
2025-01-27T15:05:00,a@a.com,Unknown,168
2025-01-27T17:13:00,ori890@gmail.com,Pixel,256
2025-01-27T17:27:00,hila552@gmail.com,iPhone,237
2025-01-28T17:33:00,yael664@gmail.com,iPad,52
2025-01-29T10:22:00,noa338@walla.co.il,Lenovo,106
2025-01-29T15:40:00,alon328@hotmail.com,Galaxy,25
2025-01-30T09:17:00,1@1.com,iPhone,21
2025-01-30T14:32:00,rotem988@gmail.com,iPhone,231
2025-01-30T18:33:00,ori928@gmail.com,iPhone,102
2025-01-31T08:38:00,guy205@walla.co.il,MacBook-Pro,272
2025-01-31T11:23:00,rinat834@yahoo.com,Lenovo,166
2025-01-31T22:17:00,guy45@yahoo.com,Pixel,209
2025-02-01T07:27:00,arnon888@icloud.com,אלין-iPhone,298
2025-02-01T14:31:00,asdf@asdf.com,Unknown,93
2025-02-01T21:03:00,yael664@gmail.com,Pixel,327
2025-02-02T12:41:00,a@a.com,iPhone,172
2025-02-02T14:56:00,shira852@gmail.com,Galaxy,355
2025-02-02T15:57:00,arnon888@icloud.com,Surface,257
2025-02-03T17:40:00,noa449@hotmail.com,Galaxy,200
2025-02-03T18:26:00,danny527@walla.co.il,מאי-iPhone,247
2025-02-04T07:09:00,1@1.com,Unknown,138
2025-02-04T12:18:00,asdf@asdf.com,android-xxxx,137
2025-02-04T13:58:00,danny336@hotmail.com,Lenovo,225
2025-02-05T09:21:00,hila719@hotmail.com,שגיא-iPhone,220
2025-02-05T13:03:00,tomer502@hotmail.com,MacBook-Pro,119
2025-02-06T15:40:00,nir649@icloud.com,iPad,205
2025-02-06T20:38:00,1@1.com,Unknown,146
2025-02-07T18:01:00,dor262@yahoo.com,Galaxy,87
2025-02-07T21:24:00,yossi373@gmail.com,שני-iPhone,219
2025-02-08T14:12:00,tomer375@gmail.com,MacBook-Pro,183
2025-02-08T17:19:00,dor781@gmail.com,Lenovo,118
2025-02-09T08:08:00,free.wifi@gmail.com,android-xxxx,77
2025-02-09T13:43:00,user@example.com,PC,85
2025-02-09T16:32:00,shira748@icloud.com,Pixel,236
2025-02-09T18:38:00,ori918@hotmail.com,עומר-iPhone,29
2025-02-10T09:45:00,rinat652@gmail.com,iPad,125
2025-02-10T11:50:00,no.email@nope.com,iPhone,30
2025-02-10T13:58:00,a@a.com,android-xxxx,83
2025-02-10T15:55:00,hila325@icloud.com,Galaxy,237
2025-02-10T22:19:00,tal416@gmail.com,MacBook-Pro,80
2025-02-11T09:03:00,lior305@outlook.com,Surface,81
2025-02-11T16:14:00,test@test.com,PC,95
2025-02-11T16:55:00,rinat996@walla.co.il,Lenovo,229
2025-02-11T22:30:00,yossi688@yahoo.com,Surface,185
2025-02-12T11:04:00,rinat996@walla.co.il,Pixel,222
2025-02-12T20:33:00,amit840@gmail.com,iPad,59
2025-02-13T08:17:00,1@1.com,PC,131
2025-02-13T08:34:00,nir250@hotmail.com,אבי-iPhone,214
